focal,competitor,decay,treatment,AIC.1,AIC.2,order
ENGERO,ENGERO,dead,sterilized,47.88995268234907,49.88857593706122,1
ENGERO,ENGERO,dead,unsterilized,29.292658625163106,31.123694486372347,1
ENGERO,ENGERO,living,sterilized,7.886136001050356,9.881011805302798,1
ENGERO,ENGERO,living,unsterilized,46.86592357311988,47.97479607816954,1
ENGERO,MACHZU,dead,sterilized,44.259835538274906,38.37535542349002,2
ENGERO,MACHZU,dead,unsterilized,46.07185265957076,47.33827380339806,1
ENGERO,MACHZU,living,sterilized,37.647907640573024,38.581213901605096,1
ENGERO,MACHZU,living,unsterilized,36.61172472013063,37.41632193063852,1
MACHZU,ENGERO,dead,sterilized,28.91365210698165,30.5351269121036,1
MACHZU,ENGERO,dead,unsterilized,14.886294282645995,15.886502008892215,1
MACHZU,ENGERO,living,sterilized,26.55918187086676,28.07934684249673,1
MACHZU,ENGERO,living,unsterilized,22.442228909788454,22.002120222100427,2
MACHZU,MACHZU,dead,sterilized,25.433364119164818,26.553606975761678,1
MACHZU,MACHZU,dead,unsterilized,13.84443230518027,10.896470166622088,2
MACHZU,MACHZU,living,sterilized,27.43273368246917,28.494786005050717,1
MACHZU,MACHZU,living,unsterilized,16.250173922335993,15.93194961028846,2
